,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DepDateTime,DepHour,DepDelay_30min,ArrDelay_30min,airport_Origin,lat_Origin,long_Origin,airport_Dest,lat_Dest,long_Dest,YearMon
6344353,2008,7,25,5,1927.0,1937,2012.0,2017,YV,1957,N27318,45.0,40.0,30.0,-5.0,-10.0,KOA,HNL,163,6.0,9.0,0,,0,,,,,,2008-07-25,"[1900, 2000)","[-30, 0)","[-30, 0)",Kona International At Keahole,19.73876583,-156.0456314,Honolulu International,21.31869111,-157.92240719999998,2008-07-01
5975371,2008,2,11,1,1628.0,1625,1727.0,1742,XE,18,N12163,179.0,197.0,160.0,-15.0,3.0,SAT,ONT,1167,4.0,15.0,0,,0,,,,,,2008-02-11,"[1600, 1700)","[0, 30)","[-30, 0)",San Antonio International,29.53369444,-98.46977778,Ontario International,34.056,-117.60119440000001,2008-02-01
5520416,2008,5,29,4,808.0,810,834.0,835,9E,5954,87909E,86.0,85.0,65.0,-1.0,-2.0,TYS,MEM,342,8.0,13.0,0,,0,,,,,,2008-05-29,"[800, 900)","[-30, 0)","[-30, 0)",McGhee-Tyson,35.81248722,-83.99285583,Memphis International,35.04241667,-89.97666667,2008-05-01
131936,2008,7,1,2,745.0,740,918.0,925,WN,1596,N457WN,273.0,285.0,263.0,-7.0,5.0,RDU,LAS,2027,3.0,7.0,0,,0,,,,,,2008-07-01,"[700, 800)","[0, 30)","[-30, 0)",Raleigh-Durham International,35.87763889,-78.78747222,McCarran International,36.08036111,-115.15233329999998,2008-06-01
1388564,2008,1,11,5,1853.0,1805,2016.0,1935,WN,3334,N636WN,143.0,150.0,113.0,41.0,48.0,PHL,BNA,675,4.0,26.0,0,,0,0.0,0.0,0.0,0.0,41.0,2008-01-11,"[1800, 1900)","[30, 60)","[30, 60)",Philadelphia Intl,39.87195278,-75.24114083,Nashville International,36.12447667,-86.67818222,2008-01-01
4647070,2008,2,17,7,814.0,820,1138.0,1152,NW,672,N370NB,144.0,152.0,130.0,-14.0,-6.0,SLC,MSP,991,4.0,10.0,0,,0,,,,,,2008-02-17,"[800, 900)","[-30, 0)","[-30, 0)",Salt Lake City Intl,40.78838778,-111.9777731,Minneapolis-St Paul Intl,44.88054694,-93.2169225,2008-02-01
5773225,2008,6,8,7,2052.0,2040,48.0,25,AA,1710,N248AA,176.0,165.0,148.0,23.0,12.0,DFW,IAD,1172,12.0,16.0,0,,0,0.0,0.0,11.0,0.0,12.0,2008-06-08,"[2000, 2100)","[0, 30)","[0, 30)",Dallas-Fort Worth International,32.89595056,-97.0372,Washington Dulles International,38.94453194,-77.45580972,2008-06-01
5709053,2008,2,10,7,2107.0,2110,2357.0,10,MQ,4454,N845AE,170.0,180.0,151.0,-13.0,-3.0,MIA,IND,1021,7.0,12.0,0,,0,,,,,,2008-02-10,"[2100, 2200)","[-30, 0)","[-30, 0)",Miami International,25.79325,-80.29055556,Indianapolis International,39.71732917,-86.29438417,2008-02-01
6880246,2008,9,9,2,2125.0,2105,2216.0,2200,XE,2803,N14943,51.0,55.0,33.0,16.0,20.0,IAH,SHV,192,5.0,13.0,0,,0,16.0,0.0,0.0,0.0,0.0,2008-09-09,"[2100, 2200)","[0, 30)","[0, 30)",George Bush Intercontinental,29.98047222,-95.33972222,Shreveport Regional,32.446627500000005,-93.82559833,2008-09-01
2665352,2008,1,17,4,644.0,650,747.0,801,US,102,N311AW,63.0,71.0,37.0,-14.0,-6.0,LAS,LAX,236,7.0,19.0,0,,0,,,,,,2008-01-17,"[600, 700)","[-30, 0)","[-30, 0)",McCarran International,36.08036111,-115.15233329999998,Los Angeles International,33.94253611,-118.40807439999999,2008-01-01
4257729,2008,11,29,6,1925.0,1927,2111.0,2154,NW,261,N365NW,226.0,267.0,206.0,-43.0,-2.0,DTW,PHX,1671,4.0,16.0,0,,0,,,,,,2008-11-29,"[1900, 2000)","[-30, 0)",,Detroit Metropolitan-Wayne County,42.21205889,-83.34883583,Phoenix Sky Harbor International,33.43416667,-112.00805559999999,2008-11-01
6118554,2008,12,26,5,1753.0,1430,1826.0,1510,WN,785,N274WN,93.0,100.0,84.0,196.0,203.0,CLE,STL,487,3.0,6.0,0,,0,5.0,0.0,0.0,0.0,191.0,2008-12-26,"[1700, 1800)","[180, 210)","[180, 210)",Cleveland-Hopkins Intl,41.41089417,-81.84939667,Lambert-St Louis International,38.74768694,-90.35998972,2008-12-01
5140317,2008,12,7,7,2106.0,2000,2346.0,2255,AA,2202,N067AA,160.0,175.0,133.0,51.0,66.0,MIA,JFK,1090,5.0,22.0,0,,0,51.0,0.0,0.0,0.0,0.0,2008-12-07,"[2100, 2200)","[60, 90)","[30, 60)",Miami International,25.79325,-80.29055556,John F Kennedy Intl,40.63975111,-73.77892556,2008-12-01
4782653,2008,3,19,3,1152.0,1150,1708.0,1715,AA,1006,N455AA,196.0,205.0,174.0,-7.0,2.0,OAK,DFW,1456,13.0,9.0,0,,0,,,,,,2008-03-19,"[1100, 1200)","[0, 30)","[-30, 0)",Metropolitan Oakland International,37.72129083,-122.22071670000001,Dallas-Fort Worth International,32.89595056,-97.0372,2008-03-01
3481680,2008,7,4,5,2036.0,2040,2245.0,2255,AS,245,N617AS,129.0,135.0,115.0,-10.0,-4.0,LAX,PDX,834,5.0,9.0,0,,0,,,,,,2008-07-04,"[2000, 2100)","[-30, 0)","[-30, 0)",Los Angeles International,33.94253611,-118.40807439999999,Portland Intl,45.58872222,-122.5975,2008-07-01
817868,2008,11,24,1,605.0,615,721.0,742,XE,2644,N14945,76.0,87.0,63.0,-21.0,-10.0,GPT,IAH,376,4.0,9.0,0,,0,,,,,,2008-11-24,"[600, 700)","[-30, 0)","[-30, 0)",Gulfport-Biloxi Regional,30.40728028,-89.07009278,George Bush Intercontinental,29.98047222,-95.33972222,2008-11-01
3775036,2008,5,9,5,1532.0,1535,1708.0,1723,AS,370,N760AS,96.0,108.0,80.0,-15.0,-3.0,SEA,SMF,605,5.0,11.0,0,,0,,,,,,2008-05-09,"[1500, 1600)","[-30, 0)","[-30, 0)",Seattle-Tacoma Intl,47.44898194,-122.30931310000001,Sacramento International,38.69542167,-121.5907669,2008-05-01
1283391,2008,7,27,7,1503.0,1503,1916.0,1920,YV,2889,N914FJ,133.0,137.0,111.0,-4.0,0.0,PHX,AUS,872,6.0,16.0,0,,0,,,,,,2008-07-27,"[1500, 1600)","[0, 30)","[-30, 0)",Phoenix Sky Harbor International,33.43416667,-112.00805559999999,Austin-Bergstrom International,30.19453278,-97.66987194,2008-07-01
2429972,2008,8,1,5,1740.0,1645,1839.0,1807,XE,2589,N14977,59.0,82.0,37.0,32.0,55.0,EWR,SYR,194,5.0,17.0,0,,0,32.0,0.0,0.0,0.0,0.0,2008-08-01,"[1700, 1800)","[30, 60)","[30, 60)",Newark Intl,40.69249722,-74.16866056,Syracuse-Hancock Intl,43.11118694,-76.10631056,2008-07-01
5919336,2008,10,3,5,2059.0,1935,2318.0,2203,XE,2753,N14153,199.0,208.0,156.0,75.0,84.0,EWR,LIT,1069,7.0,36.0,0,,0,0.0,0.0,0.0,0.0,75.0,2008-10-03,"[2000, 2100)","[60, 90)","[60, 90)",Newark Intl,40.69249722,-74.16866056,Adams ,34.72939611,-92.22424556,2008-10-01
2558646,2008,3,12,3,1112.0,1110,1416.0,1414,OH,5240,N676CA,124.0,124.0,102.0,2.0,2.0,DFW,CVG,812,10.0,12.0,0,,0,,,,,,2008-03-12,"[1100, 1200)","[0, 30)","[0, 30)",Dallas-Fort Worth International,32.89595056,-97.0372,Cincinnati Northern Kentucky Intl,39.04614278,-84.6621725,2008-03-01
2858,2008,8,3,7,1945.0,1955,2145.0,2206,FL,389,N953AT,120.0,131.0,106.0,-21.0,-10.0,IND,TPA,838,6.0,8.0,0,,0,,,,,,2008-08-03,"[1900, 2000)","[-30, 0)","[-30, 0)",Indianapolis International,39.71732917,-86.29438417,Tampa International ,27.97547222,-82.53325,2008-08-01
6081341,2008,5,8,4,1700.0,1700,2023.0,2009,CO,787,N27722,383.0,369.0,354.0,14.0,0.0,EWR,SNA,2433,6.0,23.0,0,,0,,,,,,2008-05-08,"[1700, 1800)","[0, 30)","[0, 30)",Newark Intl,40.69249722,-74.16866056,John Wayne /Orange Co,33.67565861,-117.86822250000002,2008-05-01
6382094,2008,6,28,6,1313.0,1136,1428.0,1249,EV,4563,N680BR,135.0,133.0,121.0,99.0,97.0,ATL,ICT,781,4.0,10.0,0,,0,97.0,0.0,2.0,0.0,0.0,2008-06-28,"[1300, 1400)","[90, 120)","[90, 120)",William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,Wichita Mid-Continent,37.64995889,-97.43304583,2008-06-01
4625496,2008,4,14,1,1106.0,1056,1339.0,1326,NW,581,N555NW,213.0,210.0,190.0,13.0,10.0,MCO,MSP,1310,6.0,17.0,0,,0,,,,,,2008-04-14,"[1100, 1200)","[0, 30)","[0, 30)",Orlando International,28.42888889,-81.31602778,Minneapolis-St Paul Intl,44.88054694,-93.2169225,2008-04-01
3140634,2008,1,20,7,858.0,900,1030.0,1045,UA,881,N523UA,152.0,165.0,133.0,-15.0,-2.0,BOS,ORD,867,5.0,14.0,0,,0,,,,,,2008-01-20,"[800, 900)","[-30, 0)","[-30, 0)",Gen Edw L Logan Intl,42.3643475,-71.00517917,Chicago O'Hare International,41.979595,-87.90446417,2008-01-01
2076316,2008,7,29,2,1928.0,1932,2022.0,2030,NW,896,N759NW,114.0,118.0,95.0,-8.0,-4.0,DTW,MCI,629,8.0,11.0,0,,0,,,,,,2008-07-29,"[1900, 2000)","[-30, 0)","[-30, 0)",Detroit Metropolitan-Wayne County,42.21205889,-83.34883583,Kansas City International,39.29760528,-94.71390556,2008-07-01
3071423,2008,8,23,6,1402.0,1404,1519.0,1540,UA,683,N340UA,137.0,156.0,108.0,-21.0,-2.0,LGA,ORD,733,4.0,25.0,0,,0,,,,,,2008-08-23,"[1400, 1500)","[-30, 0)","[-30, 0)",LaGuardia,40.77724306,-73.87260917,Chicago O'Hare International,41.979595,-87.90446417,2008-08-01
1492856,2008,11,12,3,1012.0,1015,1346.0,1325,AA,444,N444AA,154.0,130.0,109.0,21.0,-3.0,ORD,BOS,867,6.0,39.0,0,,0,0.0,0.0,21.0,0.0,0.0,2008-11-12,"[1000, 1100)","[-30, 0)","[0, 30)",Chicago O'Hare International,41.979595,-87.90446417,Gen Edw L Logan Intl,42.3643475,-71.00517917,2008-11-01
204576,2008,11,2,7,1031.0,840,1145.0,937,F9,765,N918FR,134.0,117.0,98.0,128.0,111.0,DEN,LAS,629,7.0,29.0,0,,0,20.0,0.0,108.0,0.0,0.0,2008-11-02,"[1000, 1100)","[90, 120)","[120, 150)",Denver Intl,39.85840806,-104.6670019,McCarran International,36.08036111,-115.15233329999998,2008-11-01
6220315,2008,4,23,3,703.0,705,742.0,751,OO,5439,N561SW,39.0,46.0,22.0,-9.0,-2.0,LAX,SBA,89,4.0,13.0,0,,0,,,,,,2008-04-23,"[700, 800)","[-30, 0)","[-30, 0)",Los Angeles International,33.94253611,-118.40807439999999,Santa Barbara Municipal,34.42621194,-119.8403733,2008-04-01
5851283,2008,2,28,4,1956.0,1955,2044.0,2045,DL,484,N929DL,48.0,50.0,25.0,-1.0,1.0,CVG,CMH,116,6.0,17.0,0,,0,,,,,,2008-02-28,"[1900, 2000)","[0, 30)","[-30, 0)",Cincinnati Northern Kentucky Intl,39.04614278,-84.6621725,Port Columbus Intl,39.99798528,-82.89188278,2008-02-01
5976843,2008,10,22,3,1618.0,1615,1846.0,1848,AS,534,N776AS,148.0,153.0,128.0,-2.0,3.0,SEA,ONT,956,4.0,16.0,0,,0,,,,,,2008-10-22,"[1600, 1700)","[0, 30)","[-30, 0)",Seattle-Tacoma Intl,47.44898194,-122.30931310000001,Ontario International,34.056,-117.60119440000001,2008-10-01
1587012,2008,5,19,1,1530.0,1535,1832.0,1845,US,1678,N948UW,122.0,130.0,108.0,-13.0,-5.0,MCI,CLT,809,5.0,9.0,0,,0,,,,,,2008-05-19,"[1500, 1600)","[-30, 0)","[-30, 0)",Kansas City International,39.29760528,-94.71390556,Charlotte/Douglas International,35.21401111,-80.94312583,2008-05-01
6953985,2008,12,28,7,1913.0,1900,2026.0,2012,EV,5064,N971EV,73.0,72.0,48.0,14.0,13.0,ATL,FAY,331,3.0,22.0,0,,0,,,,,,2008-12-28,"[1900, 2000)","[0, 30)","[0, 30)",William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,Fayetteville Municipal,34.99147222,-78.88,2008-12-01
6268936,2008,6,18,3,1035.0,1000,1305.0,1230,AS,87,N559AS,210.0,210.0,182.0,35.0,35.0,SEA,ANC,1449,5.0,23.0,0,,0,0.0,0.0,5.0,0.0,30.0,2008-06-18,"[1000, 1100)","[30, 60)","[30, 60)",Seattle-Tacoma Intl,47.44898194,-122.30931310000001,Ted Stevens Anchorage International,61.17432028,-149.9961856,2008-06-01
1877143,2008,7,28,1,1608.0,1610,1655.0,1700,OH,5212,N809CA,107.0,110.0,86.0,-5.0,-2.0,MCO,HSV,535,8.0,13.0,0,,0,,,,,,2008-07-28,"[1600, 1700)","[-30, 0)","[-30, 0)",Orlando International,28.42888889,-81.31602778,Huntsville International ,34.6404475,-86.77310944,2008-07-01
1183762,2008,5,15,4,1805.0,1720,2048.0,1919,OH,5458,N716CA,103.0,59.0,33.0,89.0,45.0,HSV,ATL,151,10.0,60.0,0,,0,0.0,45.0,44.0,0.0,0.0,2008-05-15,"[1800, 1900)","[30, 60)","[60, 90)",Huntsville International ,34.6404475,-86.77310944,William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,2008-05-01
2755795,2008,11,10,1,1715.0,1720,1801.0,1820,WN,2821,N622SW,106.0,120.0,86.0,-19.0,-5.0,SLC,LAX,590,7.0,13.0,0,,0,,,,,,2008-11-10,"[1700, 1800)","[-30, 0)","[-30, 0)",Salt Lake City Intl,40.78838778,-111.9777731,Los Angeles International,33.94253611,-118.40807439999999,2008-11-01
5067170,2008,11,30,7,636.0,640,1535.0,1510,DL,106,N3765,359.0,330.0,309.0,25.0,-4.0,SAN,JFK,2446,23.0,27.0,0,,0,0.0,0.0,25.0,0.0,0.0,2008-11-30,"[600, 700)","[-30, 0)","[0, 30)",San Diego International-Lindbergh ,32.73355611,-117.1896567,John F Kennedy Intl,40.63975111,-73.77892556,2008-11-01
4546928,2008,11,17,1,1208.0,1215,1327.0,1345,F9,585,N809FR,79.0,90.0,62.0,-18.0,-7.0,DEN,SLC,391,5.0,12.0,0,,0,,,,,,2008-11-17,"[1200, 1300)","[-30, 0)","[-30, 0)",Denver Intl,39.85840806,-104.6670019,Salt Lake City Intl,40.78838778,-111.9777731,2008-11-01
2069205,2008,7,2,3,830.0,830,950.0,955,WN,554,N229WN,80.0,85.0,71.0,-5.0,0.0,DAL,MCI,461,2.0,7.0,0,,0,,,,,,2008-07-02,"[800, 900)","[0, 30)","[-30, 0)",Dallas Love ,32.84711389,-96.85177222,Kansas City International,39.29760528,-94.71390556,2008-07-01
3317125,2008,2,5,2,1826.0,1835,1901.0,1914,OO,5492,N218SW,35.0,39.0,23.0,-13.0,-9.0,MRY,SFO,77,7.0,5.0,0,,0,,,,,,2008-02-05,"[1800, 1900)","[-30, 0)","[-30, 0)",Monterey Peninsula,36.5869825,-121.84294779999999,San Francisco International,37.61900194,-122.3748433,2008-02-01
